----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 3
measurment = 11
measurment = 11
measurment = 0
measurment = 17
measurment = 0
measurment = 0
measurment = 3
measurment = 0
measurment = 0
measurment = 9
measurment = 42745
measurment = 0
measurment = 2
measurment = 2
measurment = 0
measurment = 9
measurment = 14
measurment = 0
measurment = 16
measurment = 70
measurment = 151
measurment = 24259
measurment = 0
measurment = 4
measurment = 0
----------------------vibration demo------------------------
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 3
measurment = 0
measurment = 0
measurment = 19
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 25
measurment = 21
measurment = 53
measurment = 162
measurment = 61
measurment = 0
measurment = 2
measurment = 749
measurment = 69
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 3
measurment = 52
measurment = 6
measurment = 732013
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 8
measurment = 2
measurment = 9
measurment = 0
measurment = 30
measurment = 45925
measurment = 0
measurment = 146
measurment = 0
measurment = 0
measurment = 3
measurment = 5
measurment = 3
measurment = 4
measurment = 0
measurment = 83
measurment = 0
measurment = 0
measurment = 9
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 19
measurment = 9
measurment = 0
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 11
measurment = 10
measurment = 784896
measurment = 92
measurment = 0
measurment = 0
measurment = 15561
measurment = 135
measurment = 0
measurment = 0
measurment = 30
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 27
measurment = 210
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 186
measurment = 2
measurment = 4
measurment = 0
measurment = 32
measurment = 360028
measurment = 158
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 93
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 5
measurment = 13
measurment = 4394
measurment = 1097
measurment = 4121
measurment = 23040
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 2
measurment = 4
measurment = 7
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 73839
measurment = 0
measurment = 0
measurment = 0
measurment = 656
measurment = 0
measurment = 15435
measurment = 78
measurment = 168
measurment = 13
measurment = 685339
measurment = 8
measurment = 0
measurment = 0
measurment = 0
measurment = 3
measurment = 2
measurment = 2
measurment = 0
measurment = 0
measurment = 0
measurment = 49531
measurment = 2
measurment = 147
measurment = 16
measurment = 0
measurment = 0
measurment = 0
measurment = 3
measurment = 2
measurment = 3
measurment = 3
measurment = 2
measurment = 127
measurment = 0
measurment = 0
measurment = 326
measurment = 70
measurment = 0
measurment = 101028
measurment = 3
measurment = 112
measurment = 23787
measurment = 115
measurment = 0
measurment = 0
measurment = 2
measurment = 8
measurment = 0
measurment = 25080
measurment = 0
measurment = 0
measurment = 2
measurment = 0
measurment = 2
measurment = 2
measurment = 4
measurment = 0
measurment = 4
measurment = 199
measurment = 147141
measurment = 389
measurment = 101
measurment = 4
measurment = 106
measurment = 0
measurment = 116
measurment = 0
measurment = 0
measurment = 0
measurment = 0
measurment = 0
